web-scraper-order,web-scraper-start-url,link_toko,link_toko-href,nama_toko,Jml_produk,chat,follower,rating_toko,bergabung,promo,alamat_toko,link_produk,link_produk-href,nama_produk,promo_produk,terjual,gratis_ongkir,favorit
"1668867226-123","https://shopee.co.id/mall/brands/11042849","Troy.","https://shopee.co.id/troycompany","","null","98% (hitungan jam)","93RB","4.8 (43,1RB penilaian)","4 tahun lalu","null","KAB. SLEMAN","Troy Company Gelang Tangan Black GL 106Rp10.0007,2RB TerjualKAB. SLEMAN","https://shopee.co.id/Troy-Company-Gelang-Tangan-Black-GL-106-i.132593038.4131694080?sp_atk=2005d859-f6d9-4ce0-89c1-1ca54bad8b0e&xptdk=2005d859-f6d9-4ce0-89c1-1ca54bad8b0e","null","null","null","null","null"
"1668867323-124","https://shopee.co.id/mall/brands/11042849","Troveast","https://shopee.co.id/troveast","","117","85% (hitungan jam)","255,6RB","4.6 (215,4RB penilaian)","6 tahun lalu","null","KOTA TANGERANG","44%offTroveast Jaket Outdoor WaterproofDiskon Rp20RBMurah LebayRp300.000Rp169.00010RB+ TerjualKOTA TANGERANG","https://shopee.co.id/Troveast-Jaket-Outdoor-Waterproof-i.7791565.41661639?sp_atk=b12b733c-16cf-46e1-a4aa-0d9d69346cbb&xptdk=b12b733c-16cf-46e1-a4aa-0d9d69346cbb","null","null","null","null","null"
"1668867352-125","https://shopee.co.id/mall/brands/11042849","Trousary","https://shopee.co.id/trousaryofficial","","null","100% (hitungan menit)","3,5RB","4.8 (4,9RB penilaian)","3 tahun lalu","null","KAB. BANDUNG","39%offTrousary Sweater  Hoodie Zipper / Sleting Original Size S M L XL XXLDiskon 50%Rp85.000 - Rp130.0001,1RB TerjualKAB. BANDUNG","https://shopee.co.id/Trousary-Sweater-Hoodie-Zipper-Sleting-Original-Size-S-M-L-XL-XXL-i.180630585.5372680447?sp_atk=af6cdba4-564d-4946-b282-8296810744fc&xptdk=af6cdba4-564d-4946-b282-8296810744fc","null","null","null","null","null"
"1668867378-126","https://shopee.co.id/mall/brands/11042849","Trondheim","https://shopee.co.id/trondheimoriginal","","null","96% (hitungan jam)","19,1RB","4.8 (26,5RB penilaian)","4 tahun lalu","null","KOTA CIMAHI","75%offTrondheim Celana Jeans Slim Fit PriaRp99.000 - Rp139.0005,6RB TerjualKOTA CIMAHI","https://shopee.co.id/Trondheim-Celana-Jeans-Slim-Fit-Pria-i.119232628.2200142141?sp_atk=c8325772-9784-4cb2-b2cd-5df1ac53af1c&xptdk=c8325772-9784-4cb2-b2cd-5df1ac53af1c","null","null","null","null","null"
"1668867406-127","https://shopee.co.id/mall/brands/11042849","Triple","https://shopee.co.id/triplejeans","","462","85% (hitungan jam)","30,4RB","4.8 (12,3RB penilaian)","3 tahun lalu","null","KOTA SURABAYA","60%offTRIPLE Ladies Celana Jeans Stretch Slim Fit (94 777 GW)Diskon Rp7RBRp425.000Rp170.000690 TerjualKOTA SURABAYA","https://shopee.co.id/TRIPLE-Ladies-Celana-Jeans-Stretch-Slim-Fit-(94-777-GW)-i.175328065.6419139281?sp_atk=2c617c60-0a30-4600-8a61-9fd285b550a7&xptdk=2c617c60-0a30-4600-8a61-9fd285b550a7","null","null","null","null","null"
"1668867436-128","https://shopee.co.id/mall/brands/11042849","trepel","https://shopee.co.id/trepel.co","","38","79% (hitungan jam)","639","4.8 (419 penilaian)","7 bulan lalu","null","KOTA BANDUNG","27%offTrepel.Co Celana Cargo Pendek Warna Abu Muda Free Gantungan KunciDiskon Rp2RBPilih 3, diskon Rp5.000Rp124.700 - Rp175.000215 TerjualKOTA BANDUNG","https://shopee.co.id/Trepel.Co-Celana-Cargo-Pendek-Warna-Abu-Muda-Free-Gantungan-Kunci-i.754871962.19724584257?sp_atk=b5d709c4-6ec3-4ea4-9bec-96b3fae72900&xptdk=b5d709c4-6ec3-4ea4-9bec-96b3fae72900","null","null","null","null","null"
"1668867465-129","https://shopee.co.id/mall/brands/11042849","Tozicozy","https://shopee.co.id/tozicozy","","174","98% (hitungan jam)","23,6RB","4.8 (8,2RB penilaian)","4 tahun lalu","null","KAB. BANDUNG","Tozicozy Zein Tas Sling Bag Pria Warna Hitam Waterproof Bahan BimoDiskon 50%Hadiah GratisRp159.000349 TerjualKAB. BANDUNG","https://shopee.co.id/Tozicozy-Zein-Tas-Sling-Bag-Pria-Warna-Hitam-Waterproof-Bahan-Bimo-i.130851767.7894154586?sp_atk=d5c53e75-f8e0-4b10-b995-793314b6cb33&xptdk=d5c53e75-f8e0-4b10-b995-793314b6cb33","null","null","null","null","null"
"1668867492-130","https://shopee.co.id/mall/brands/11042849","TOPTEN","https://shopee.co.id/toptenofficial","","null","87% (hitungan jam)","11,9RB","4.7 (1,9RB penilaian)","4 tahun lalu","null","KOTA SURABAYA","52%offTOPTEN Celana Dalam Pria Boxer Premium Topten SportDiskon 10%Rp99.000Rp48.000685 TerjualKOTA SURABAYA","https://shopee.co.id/TOPTEN-Celana-Dalam-Pria-Boxer-Premium-Topten-Sport-i.96058796.6010357260?sp_atk=fa6d04c5-1ad3-448d-bf8c-fb4b63153693&xptdk=fa6d04c5-1ad3-448d-bf8c-fb4b63153693","null","null","null","null","null"
"1668867520-131","https://shopee.co.id/mall/brands/11042849","TopOne88","https://shopee.co.id/topone88","","289","97% (hitungan jam)","104,9RB","4.7 (150,8RB penilaian)","6 tahun lalu","null","KOTA JAKARTA BARAT","40%offTopone88 Jaket Royal Hoodie Zipper Anak Laki Perempuan UnisexMurah LebayRp100.000Rp60.00010RB+ TerjualKOTA JAKARTA BARAT","https://shopee.co.id/Topone88-Jaket-Royal-Hoodie-Zipper-Anak-Laki-Perempuan-Unisex-i.19222953.784901261?sp_atk=447c4b4c-23c9-42db-aaf5-3fe927318611&xptdk=447c4b4c-23c9-42db-aaf5-3fe927318611","null","null","null","null","null"
"1668867548-132","https://shopee.co.id/mall/brands/11042849","Tootsie","https://shopee.co.id/tootsie.official","","null","88% (hitungan jam)","3,8RB","4.9 (767 penilaian)","8 bulan lalu","null","KOTA BANDUNG","TOOTSIE - Caen T-Shirt -  AdultRp169.900236 TerjualKOTA BANDUNG","https://shopee.co.id/TOOTSIE-Caen-T-Shirt-Adult-i.737806720.17560654763?sp_atk=30f3c2e2-d57f-454e-8c6c-8902f4decd2d&xptdk=30f3c2e2-d57f-454e-8c6c-8902f4decd2d","null","null","null","null","null"
"1668867581-133","https://shopee.co.id/mall/brands/11042849","Tootal Underwear","https://shopee.co.id/tootal.official","","24","27% (hitungan jam)","293","4.9 (255 penilaian)","24 bulan lalu","null","KOTA TANGERANG SELATAN","Tootal Celana Dalam Pria Mini Brief 3 Warna / pack - TTOB03M3CRp89.90030 TerjualKOTA TANGERANG SELATAN","https://shopee.co.id/Tootal-Celana-Dalam-Pria-Mini-Brief-3-Warna-pack-TTOB03M3C-i.338429743.5567484831?sp_atk=e5bc0fac-9903-479f-8c8b-d45393b23d75&xptdk=e5bc0fac-9903-479f-8c8b-d45393b23d75","null","null","null","null","null"
"1668867608-134","https://shopee.co.id/mall/brands/11042849","Tootal","https://shopee.co.id/tootal","","null","74% (hitungan jam)","529","4.9 (196 penilaian)","5 tahun lalu","null","KOTA JAKARTA TIMUR","50%offTootal Kemeja Pria Lengan Panjang Stripe 272 BlueDiskon 50%Rp688.000Rp344.00012 TerjualKOTA JAKARTA TIMUR","https://shopee.co.id/Tootal-Kemeja-Pria-Lengan-Panjang-Stripe-272-Blue-i.39412025.7941584422?sp_atk=47c6e5fd-9936-4add-8a38-0cdea784974c&xptdk=47c6e5fd-9936-4add-8a38-0cdea784974c","null","null","null","null","null"
"1668867635-135","https://shopee.co.id/mall/brands/11042849","TOMS PROJECT","https://shopee.co.id/tomsproject.id","","160","93% (hitungan jam)","38,7RB","4.8 (11,9RB penilaian)","5 tahun lalu","null","KOTA BANDUNG","63%offToms Project Tshirt Saint Muerte - Kaos PriaDiskon Rp5RBPilih 3, bayar Rp195.000Rp185.000Rp69.0002,8RB TerjualKOTA BANDUNG","https://shopee.co.id/Toms-Project-Tshirt-Saint-Muerte-Kaos-Pria-i.55255133.3297105846?sp_atk=353d68cc-dfe1-451a-b822-9d98ec66485c&xptdk=353d68cc-dfe1-451a-b822-9d98ec66485c","null","null","null","null","null"
"1668867668-136","https://shopee.co.id/mall/brands/11042849","Tommy Hilfinger","https://shopee.co.id/tommyhilfigerofficial","","159","100% (hitungan menit)","14%","17,9RB","4.8 (197 penilaian)","null","KAB. BOGOR","30%offTommy Hilfiger - REGULAR FIT TOMMY TIPPED POLO 2 - BLACKDiskon Rp15RBRp1.390.000Rp973.0007 TerjualKAB. BOGOR","https://shopee.co.id/Tommy-Hilfiger-REGULAR-FIT-TOMMY-TIPPED-POLO-2-BLACK-i.338434182.20349514959?sp_atk=e5bfa7f4-2c41-46ab-b32e-816cf40343f1&xptdk=e5bfa7f4-2c41-46ab-b32e-816cf40343f1","null","null","null","null","null"
"1668867697-137","https://shopee.co.id/mall/brands/11042849","Tokocrypto","https://shopee.co.id/tokocrypto_official","","21","50%","20%","43","5.0 (4 penilaian)","null","KOTA JAKARTA SELATAN","Tokocrypto - Astronauts Skate Black - Size MRp180.0002 TerjualKOTA JAKARTA SELATAN","https://shopee.co.id/Tokocrypto-Astronauts-Skate-Black-Size-M-i.637852336.19844837626?sp_atk=e4503f89-047d-4e8b-8761-ca4a1a834556&xptdk=e4503f89-047d-4e8b-8761-ca4a1a834556","null","null","null","null","null"
"1668867726-138","https://shopee.co.id/mall/brands/11042849","TNGR","https://shopee.co.id/tngrdeadly","","null","77% (hitungan jam)","28,3RB","4.8 (9,6RB penilaian)","5 tahun lalu","null","KAB. SLEMAN","55%offTNGR Deadly T-Shirt ZHOCX Blue TeesDiskon Rp7,77RBRp165.000Rp75.000211 TerjualKAB. SLEMAN","https://shopee.co.id/TNGR-Deadly-T-Shirt-ZHOCX-Blue-Tees-i.38323773.8642501922?sp_atk=ebef498b-f598-4cdc-b467-ec372eacf538&xptdk=ebef498b-f598-4cdc-b467-ec372eacf538","null","null","null","null","null"
"1668867752-139","https://shopee.co.id/mall/brands/11042849","Tizzly","https://shopee.co.id/tizzly.co","","null","88% (hitungan jam)","3,9RB","4.8 (2RB penilaian)","29 bulan lalu","null","KOTA CIMAHI","35%offTizzly Avernus Varian2Rp187.850 - Rp203.550385 TerjualKOTA CIMAHI","https://shopee.co.id/Tizzly-Avernus-Varian2-i.279384362.3260542535?sp_atk=a1348af9-f292-4b6a-a9c5-839d397da52d&xptdk=a1348af9-f292-4b6a-a9c5-839d397da52d","null","null","null","null","null"
"1668867779-140","https://shopee.co.id/mall/brands/11042849","Tirajeans","https://shopee.co.id/tirajeansofficial","","439","62% (hitungan jam)","31,5RB","4.8 (8,5RB penilaian)","5 tahun lalu","null","KOTA BEKASI","25%offTirajeans T-Shirts L/S TTL205K40004S21 BlackDiskon Rp20RBPilih 2, diskon 30%Rp179.900Rp134.925218 TerjualKOTA BEKASI","https://shopee.co.id/Tirajeans-T-Shirts-L-S-TTL205K40004S21-Black-i.55934463.8148573584?sp_atk=b2340ea8-87a8-406b-a4c3-1c8e6f6d14ff&xptdk=b2340ea8-87a8-406b-a4c3-1c8e6f6d14ff","null","null","null","null","null"
"1668867811-141","https://shopee.co.id/mall/brands/11042849","TIMONOSD","https://shopee.co.id/timonosd.co","","313","61% (hitungan jam)","60,5RB","4.7 (18,5RB penilaian)","5 tahun lalu","null","KOTA TANGERANG SELATAN","Timonosd Crewneck Tmnsd “Had “Rp210.000544 TerjualKOTA TANGERANG SELATAN","https://shopee.co.id/Timonosd-Crewneck-Tmnsd-%E2%80%9CHad-%E2%80%9C-i.51123839.3841831780?sp_atk=38dec2f3-98dd-4f1f-a652-5aa9e1e12256&xptdk=38dec2f3-98dd-4f1f-a652-5aa9e1e12256","null","null","null","null","null"
"1668867839-142","https://shopee.co.id/mall/brands/11042849","Timberland","https://shopee.co.id/timberlandofficial","","897","100% (hitungan jam)","31,8RB","4.9 (1,6RB penilaian)","32 bulan lalu","null","KOTA TANGERANG SELATAN","Timberland Women 6In Prem Boot Wheat Nubuck-TB010361713Diskon Rp25RBRp3.790.00016 TerjualKOTA TANGERANG SELATAN","https://shopee.co.id/Timberland-Women-6In-Prem-Boot-Wheat-Nubuck-TB010361713-i.240533996.7638556753?sp_atk=1b5cbb7f-073a-45ef-913e-8b67fcf690f8&xptdk=1b5cbb7f-073a-45ef-913e-8b67fcf690f8","null","null","null","null","null"
"1668867865-143","https://shopee.co.id/mall/brands/11042849","Tightless","https://shopee.co.id/tightless","","25","57%","341","4.7 (35 penilaian)","23 bulan lalu","null","KOTA BANDUNG","62%offTightless Sweater Pullover Hoodie LethargyRp449.000Rp169.0008 TerjualKOTA BANDUNG","https://shopee.co.id/Tightless-Sweater-Pullover-Hoodie-Lethargy-i.362960731.3483261058?sp_atk=e136776c-0f16-46f8-822f-71e717033e39&xptdk=e136776c-0f16-46f8-822f-71e717033e39","null","null","null","null","null"
"1668867895-144","https://shopee.co.id/mall/brands/11042849","Throox","https://shopee.co.id/throoxoriginal","","377","98% (hitungan jam)","145,9RB","4.8 (48,2RB penilaian)","4 tahun lalu","null","KAB. SUKOHARJO","49%offThroox T-Shirt kaos hitam ||THRX Good Smilow BlackDiskon Rp5RBPilih 3, bayar Rp250.000Rp175.000Rp89.0001,6RB TerjualKAB. SUKOHARJO","https://shopee.co.id/Throox-T-Shirt-kaos-hitam-THRX-Good-Smilow-Black-i.118571446.7526533289?sp_atk=1e57caef-07e5-409e-aa07-dc892ef9d456&xptdk=1e57caef-07e5-409e-aa07-dc892ef9d456","null","null","null","null","null"
"1668867922-145","https://shopee.co.id/mall/brands/11042849","Thistimebrand","https://shopee.co.id/thistimebrand","","1,2RB","94% (hitungan jam)","83,4RB","4.7 (24,1RB penilaian)","4 tahun lalu","null","KOTA BEKASI","This Time Brand Paket Hemat Murah Meriah , Geser Ke KananDiskon Rp5RBKombo HematRp200.000600 TerjualKOTA BEKASI","https://shopee.co.id/This-Time-Brand-Paket-Hemat-Murah-Meriah-Geser-Ke-Kanan-i.86409600.6045631676?sp_atk=9c82b248-4c57-4659-bb40-46919f053e87&xptdk=9c82b248-4c57-4659-bb40-46919f053e87","null","null","null","null","null"
"1668867952-146","https://shopee.co.id/mall/brands/11042849","This is April","https://shopee.co.id/thisisapril","","857","99% (hitungan jam)","755,1RB","4.9 (108,1RB penilaian)","5 tahun lalu","null","KOTA JAKARTA UTARA","This Is April Jaket Jeans Wanita Fender Jackets Denim – 181503Diskon Rp10RBRp279.0001,1RB TerjualKOTA JAKARTA UTARA","https://shopee.co.id/This-Is-April-Jaket-Jeans-Wanita-Fender-Jackets-Denim-%E2%80%93-181503-i.60731464.6383449442?sp_atk=2bdbc9c9-b384-4b5a-913c-efb028e4be5e&xptdk=2bdbc9c9-b384-4b5a-913c-efb028e4be5e","null","null","null","null","null"
"1668867980-147","https://shopee.co.id/mall/brands/11042849","The Slank Store","https://shopee.co.id/theslankstore","","308","76% (hitungan jam)","19,8RB","4.9 (11,2RB penilaian)","5 tahun lalu","null","KOTA JAKARTA SELATAN","Vaksin Slank Vol.24Rp100.000778 TerjualKOTA JAKARTA SELATAN","https://shopee.co.id/Vaksin-Slank-Vol.24-i.69584395.4676992447?sp_atk=89fcd1c1-d53d-4bfa-b1ee-bf05199411c8&xptdk=89fcd1c1-d53d-4bfa-b1ee-bf05199411c8","null","null","null","null","null"
"1668868006-148","https://shopee.co.id/mall/brands/11042849","The Monseur Gallery","https://shopee.co.id/themonseurgallery","","693","100% (hitungan menit)","30,3RB","4.7 (4,2RB penilaian)","3 bulan lalu","null","KOTA SURABAYA","50%offThe Monseur Gallery T-shirt Oversize Blue Heart | Kaos HitamDiskon Rp5RBPilih 2, diskon Rp2.000Rp130.000Rp65.000718 TerjualKOTA SURABAYA","https://shopee.co.id/The-Monseur-Gallery-T-shirt-Oversize-Blue-Heart-Kaos-Hitam-i.836627177.20342770371?sp_atk=024acdd7-e210-42de-a7c2-c33c7f5c12dc&xptdk=024acdd7-e210-42de-a7c2-c33c7f5c12dc","null","null","null","null","null"
"1668868039-149","https://shopee.co.id/mall/brands/11042849","The Goods Dept","https://shopee.co.id/thegoodsdeptofficial","","1RB","76% (hitungan jam)","70,4RB","4.9 (13,6RB penilaian)","34 bulan lalu","null","KAB. TANGERANG","The Goods Dept - Totebag Jakarta CreamDiskon Rp10RBRp169.0001,4RB TerjualKAB. TANGERANG","https://shopee.co.id/The-Goods-Dept-Totebag-Jakarta-Cream-i.217272417.5514381651?sp_atk=ea776219-cbe1-4f4c-95f5-7d5d2fbfe12f&xptdk=ea776219-cbe1-4f4c-95f5-7d5d2fbfe12f","null","null","null","null","null"
