web-scraper-order,web-scraper-start-url,link_toko,link_toko-href,nama_toko,Jml_produk,chat,follower,rating_toko,bergabung,promo,alamat_toko,link_produk,link_produk-href,nama_produk,promo_produk,terjual,gratis_ongkir,favorit
"1668866320-95","https://shopee.co.id/mall/brands/11042849","VIBESAPPAREL","https://shopee.co.id/vibesapparel_","","null","95% (hitungan jam)","30,8RB","4.8 (8,8RB penilaian)","4 tahun lalu","null","KOTA TANGERANG","55%offVIBES APPAREL | Wirepeace | Coach JacketDiskon 20%Murah LebayRp350.000Rp159.0001,2RB TerjualKOTA TANGERANG","https://shopee.co.id/VIBES-APPAREL-Wirepeace-Coach-Jacket-i.106062905.6765038927?sp_atk=b5f6bcff-9883-474e-9ba7-6cd6731b335d&xptdk=b5f6bcff-9883-474e-9ba7-6cd6731b335d","null","null","null","null","null"
"1668866347-96","https://shopee.co.id/mall/brands/11042849","Vialli Milano","https://shopee.co.id/viallimilano","","259","64% (hitungan jam)","1,8RB","4.9 (1,5RB penilaian)","27 bulan lalu","null","KOTA JAKARTA BARAT","Danatella Polo Stripe Shirt Wanita lengan pendekRp229.000156 TerjualKOTA JAKARTA BARAT","https://shopee.co.id/Danatella-Polo-Stripe-Shirt-Wanita-lengan-pendek-i.298649135.8811076206?sp_atk=142acd9d-63d0-4baf-9ff8-298d0bff4cee&xptdk=142acd9d-63d0-4baf-9ff8-298d0bff4cee","null","null","null","null","null"
"1668866373-97","https://shopee.co.id/mall/brands/11042849","Verticalgoods","https://shopee.co.id/verticalgoods","","169","97% (hitungan jam)","40,6RB","4.8 (15,3RB penilaian)","5 tahun lalu","null","KOTA TANGERANG","56%offVerticalgoods | T-shirt Oversize | BLURRY Kaos HitamKombo HematRp180.000Rp79.5004,3RB TerjualKOTA TANGERANG","https://shopee.co.id/Verticalgoods-T-shirt-Oversize-BLURRY-Kaos-Hitam-i.42407758.9143856822?sp_atk=1056399f-f89c-41fb-bd56-7db81c43388e&xptdk=1056399f-f89c-41fb-bd56-7db81c43388e","null","null","null","null","null"
"1668866404-98","https://shopee.co.id/mall/brands/11042849","Verkoop","https://shopee.co.id/verkoop.store","","56","58% (hitungan jam)","2RB","4.9 (1,9RB penilaian)","9 bulan lalu","null","KOTA JAKARTA SELATAN","60%offVerkoop Long Sleeve Tshirt ArmyRp299.000Rp119.00033 TerjualKOTA JAKARTA SELATAN","https://shopee.co.id/Verkoop-Long-Sleeve-Tshirt-Army-i.698748973.20458886939?sp_atk=1c6ff001-e1f7-4946-9ec2-85f2675918b6&xptdk=1c6ff001-e1f7-4946-9ec2-85f2675918b6","null","null","null","null","null"
"1668866434-99","https://shopee.co.id/mall/brands/11042849","Vercline","https://shopee.co.id/vercline","","null","40% (hitungan jam)","1,9RB","4.8 (238 penilaian)","4 tahun lalu","null","KOTA JAKARTA BARAT","30%offVercline Oversized T-Shirt DOBIERp425.000Rp297.5003 TerjualKOTA JAKARTA BARAT","https://shopee.co.id/Vercline-Oversized-T-Shirt-DOBIE-i.92018159.19057695179?sp_atk=e9901521-75fd-4ac1-aeb4-57c30209c9f3&xptdk=e9901521-75fd-4ac1-aeb4-57c30209c9f3","null","null","null","null","null"
"1668866467-100","https://shopee.co.id/mall/brands/11042849","Vengoz","https://shopee.co.id/vengoz","","251","74% (hitungan jam)","125,8RB","4.8 (57,4RB penilaian)","5 tahun lalu","null","KOTA JAKARTA UTARA","64%offVENGOZ Kemeja Pria - Adya Casual ShirtDiskon 50%Pilih 2, diskon 3%Rp359.000Rp129.0002,7RB TerjualKOTA JAKARTA UTARA","https://shopee.co.id/VENGOZ-Kemeja-Pria-Adya-Casual-Shirt-i.58259176.9618220973?sp_atk=218bf44a-a4b8-4f99-91ab-ed495a86c4a5&xptdk=218bf44a-a4b8-4f99-91ab-ed495a86c4a5","null","null","null","null","null"
"1668866499-101","https://shopee.co.id/mall/brands/11042849","Veljko","https://shopee.co.id/veljko.official","","null","97% (hitungan jam)","57,4RB","4.8 (26,5RB penilaian)","34 bulan lalu","null","KOTA BANDUNG","45%offVeljko T-shirt Larva BlackDiskon Rp2,5RBRp135.000Rp74.5001,9RB TerjualKOTA BANDUNG","https://shopee.co.id/Veljko-T-shirt-Larva-Black-i.219487388.3929010782?sp_atk=eff1691b-e430-4c3c-9a14-1c5dbb52b49f&xptdk=eff1691b-e430-4c3c-9a14-1c5dbb52b49f","null","null","null","null","null"
"1668866598-102","https://shopee.co.id/mall/brands/11042849","Vearst","https://shopee.co.id/vearst","","389","90% (hitungan jam)","47,8RB","4.8 (15,5RB penilaian)","33 bulan lalu","null","KOTA BANDUNG","41%offVearst Work Pants Sable 540 Cut BlackRp260.000 - Rp439.000708 TerjualKOTA BANDUNG","https://shopee.co.id/Vearst-Work-Pants-Sable-540-Cut-Black-i.224781834.6278574673?sp_atk=8e9bfc08-4425-48f2-a4da-b6e93390d3b4&xptdk=8e9bfc08-4425-48f2-a4da-b6e93390d3b4","null","null","null","null","null"
"1668866627-103","https://shopee.co.id/mall/brands/11042849","VCRL","https://shopee.co.id/vcrl.id","","null","92% (hitungan jam)","2,6RB","4.6 (5,1RB penilaian)","28 bulan lalu","null","KAB. BANDUNG","50%offVCRL Sweater Pria Sablon Polos Basic Bahan Cotton Flece OriginalDiskon Rp5RBRp75.000 - Rp150.00010RB+ TerjualKAB. BANDUNG","https://shopee.co.id/VCRL-Sweater-Pria-Sablon-Polos-Basic-Bahan-Cotton-Flece-Original-i.282506205.8515037788?sp_atk=501a8a19-980a-461d-90a9-a10cd6307274&xptdk=501a8a19-980a-461d-90a9-a10cd6307274","null","null","null","null","null"
"1668866655-104","https://shopee.co.id/mall/brands/11042849","Varial","https://shopee.co.id/varialapparel.co","","null","96% (hitungan jam)","11,9RB","4.8 (2,4RB penilaian)","4 tahun lalu","null","KAB. BADUNG","18%offJAKET JEANS PRIA / TRUCKER JEANS / STONEWASH /DENIM / V TRD CONS MEDICINE BLUEDiskon Rp20RBRp430.000Rp352.60091 TerjualKAB. BADUNG","https://shopee.co.id/JAKET-JEANS-PRIA-TRUCKER-JEANS-STONEWASH-DENIM-V-TRD-CONS-MEDICINE-BLUE-i.105948078.6487864075?sp_atk=ee54b0c7-048c-4ec3-a5ed-2433ba632893&xptdk=ee54b0c7-048c-4ec3-a5ed-2433ba632893","null","null","null","null","null"
"1668866682-105","https://shopee.co.id/mall/brands/11042849","Vampire Dead And Revenge","https://shopee.co.id/vampiredeadandrevenge","","null","99% (hitungan jam)","57,6RB","4.8 (21RB penilaian)","33 bulan lalu","null","KAB. BANTUL","44%offVampire Kingdom T-shirt Short Sleeve | Gorgeo | BlackDiskon Rp2,5RBPilih 2, diskon Rp3.000Rp169.000Rp95.0001,1RB TerjualKAB. BANTUL","https://shopee.co.id/Vampire-Kingdom-T-shirt-Short-Sleeve-Gorgeo-Black-i.229008774.13814294907?sp_atk=95913d94-47cb-476f-9426-406555ab27fe&xptdk=95913d94-47cb-476f-9426-406555ab27fe","null","null","null","null","null"
"1668866710-106","https://shopee.co.id/mall/brands/11042849","Urbain Inc","https://shopee.co.id/urbaininc","","null","59% (hitungan jam)","77,7RB","4.8 (16,6RB penilaian)","3 tahun lalu","null","KOTA JAKARTA SELATAN","45%offUrbain Beanie/Kupluk Wool Hitam LogoPilih 2, bayar Rp100.000Rp100.000Rp55.000846 TerjualKOTA JAKARTA SELATAN","https://shopee.co.id/Urbain-Beanie-Kupluk-Wool-Hitam-Logo-i.155156587.4563253173?sp_atk=1edf8aa5-2182-4692-bbfa-58c765c6dbfd&xptdk=1edf8aa5-2182-4692-bbfa-58c765c6dbfd","null","null","null","null","null"
"1668866735-107","https://shopee.co.id/mall/brands/11042849","Uprise","https://shopee.co.id/uprisedenim","","null","97% (hitungan jam)","80,5RB","4.9 (7,1RB penilaian)","33 bulan lalu","null","KOTA JAKARTA UTARA","UPRISE Oversize Polo Black , White , GrayDiskon Rp15RBRp179.000103 TerjualKOTA JAKARTA UTARA","https://shopee.co.id/UPRISE-Oversize-Polo-Black-White-Gray-i.231103920.8498349348?sp_atk=c3ba18ae-935b-44c7-acfe-fd55bfad62b7&xptdk=c3ba18ae-935b-44c7-acfe-fd55bfad62b7","null","null","null","null","null"
"1668866764-108","https://shopee.co.id/mall/brands/11042849","Unxplnd","https://shopee.co.id/unxplndmarket","","159","77% (hitungan jam)","24,7RB","4.9 (5,5RB penilaian)","25 bulan lalu","null","KAB. TANGERANG","27%offUnxplnd | Beanie | Basic OG WovenRp95.000Rp69.0001,1RB TerjualKAB. TANGERANG","https://shopee.co.id/Unxplnd-Beanie-Basic-OG-Woven-i.325670631.9348232420?sp_atk=30635812-1597-4f30-a33a-bf2e1ddf4ba0&xptdk=30635812-1597-4f30-a33a-bf2e1ddf4ba0","null","null","null","null","null"
"1668866797-109","https://shopee.co.id/mall/brands/11042849","UNTCKD","https://shopee.co.id/untckd_official","","485","80% (hitungan jam)","96,8RB","4.8 (18,5RB penilaian)","7 tahun lalu","null","KOTA JAKARTA UTARA","67%offUNTCKD Quill FannypackRp150.000Rp50.000226 TerjualKOTA JAKARTA UTARA","https://shopee.co.id/UNTCKD-Quill-Fannypack-i.1304055.3414141404?sp_atk=02d3a84f-d908-4b27-b105-fd685b65f14c&xptdk=02d3a84f-d908-4b27-b105-fd685b65f14c","null","null","null","null","null"
"1668866830-110","https://shopee.co.id/mall/brands/11042849","Uno.co","https://shopee.co.id/unoco.official","","78","97% (hitungan jam)","20,7RB","4.9 (5,6RB penilaian)","36 bulan lalu","null","KOTA JAKARTA TIMUR","9%offUno.co Kemeja Formal Office Shirt lengan pendek hitam Big Size Xl-7XlCashback 3%Rp209.000 - Rp269.000151 TerjualKOTA JAKARTA TIMUR","https://shopee.co.id/Uno.co-Kemeja-Formal-Office-Shirt-lengan-pendek-hitam-Big-Size-Xl-7Xl-i.204790309.9576464727?sp_atk=8beedcd3-7172-42eb-b62b-f274f084eec9&xptdk=8beedcd3-7172-42eb-b62b-f274f084eec9","null","null","null","null","null"
"1668866858-111","https://shopee.co.id/mall/brands/11042849","UNKL347","https://shopee.co.id/unkl347official","","null","98% (hitungan jam)","132,5RB","4.8 (39RB penilaian)","4 tahun lalu","null","KOTA SURAKARTA (SOLO)","70%offUNKL347 T-Shirt Hitam Bahan Combed Motif Simpel BDTMRp260.000Rp78.0001,2RB TerjualKOTA SURAKARTA (SOLO)","https://shopee.co.id/UNKL347-T-Shirt-Hitam-Bahan-Combed-Motif-Simpel-BDTM-i.80732230.14790223061?sp_atk=48a65d4f-98f7-422f-af46-5d65df9a2a3f&xptdk=48a65d4f-98f7-422f-af46-5d65df9a2a3f","null","null","null","null","null"
"1668866883-112","https://shopee.co.id/mall/brands/11042849","Unitedhart","https://shopee.co.id/unitedhart_official","","95","74% (hitungan jam)","18,3RB","4.9 (2,8RB penilaian)","27 bulan lalu","null","KOTA BANDUNG","UH! Heavyweight Cotton 16s Pocket Tees BlackRp178.000226 TerjualKOTA BANDUNG","https://shopee.co.id/UH!-Heavyweight-Cotton-16s-Pocket-Tees-Black-i.293283681.4896740595?sp_atk=f8647aae-e800-44cf-90c5-15a90282c93f&xptdk=f8647aae-e800-44cf-90c5-15a90282c93f","null","null","null","null","null"
